,Index,JobLine,NormorlizedJobLine
0,0,"Expanded cross-functional organizational capacity by collaborating across departments on priorities, functions and common goals.",inform technolog manag expand cross function organiz capac collabor across depart prioriti function common goal
1,1,"Innovated SaaS, Mobile Apps, Continuity, and DR Services.",inform technolog manag innov saa mobil app continu dr servic
2,2,Responsible for all day-to-day operations and functions of Wilkes & McHugh's six offices and 300 staff members.,inform technolog manag respons day day oper function wilk mchugh six offic staff member
3,3,"Currently lead a team of 6 IT professionals and Developers in the planning, upgrades, and implementation of IT systems, business applications, and development of new software tools.",inform technolog manag current lead team inform technolog profession develop plan upgrad implement inform technolog system busi applic develop new softwar tool
4,4,Work closely with the CIO and senior management to ensure business and technology objectives are aligned.,inform technolog manag work close cio senior manag ensur busi technolog object align
5,5,Researched new technologies and calculated future needs to achieve accurate capacity planning. Negotiated hardware and software purchases and maintenance contracts.,inform technolog manag research new technolog calcul futur need achiev accur capac plan negoti hardwar softwar purchas mainten contract
6,6,Dramatically reduced IT costs and maintenance by virtualizing the company's infrastructure using VMware.  Reduced physical servers from 50 to 4 and streamlined disaster recovery processes.,inform technolog manag dramat reduc inform technolog cost mainten virtual compani infrastructur use vmware reduc physic server streamlin disast recoveri process
7,7,Planned and executed Active Directory domain migration from 2008 to 2012 R2.,inform technolog manag plan execut activ directori domain migrat
8,8,"Coordinated the planning and migration to MPLS network for 8 sites, including upgrades of all routers, switches and network equipment.",inform technolog manag coordin plan migrat mpl network site includ upgrad router switch network equip
9,9,Increased speed and reliability of company email by migrating from Microsoft Exchange 2010 to 2016.,inform technolog manag increas speed reliabl compani email migrat microsoft exchang
10,10,Streamlined operations by designing new Citrix infrastructure using Netscaler load balancers to ensure better speed and connectivity with less downtime for remote offices.,inform technolog manag streamlin oper design new citrix infrastructur use netscal load balanc ensur better speed connect less downtim remot offic
11,11,Led the planning and implementation of Disaster Recovery site in Atlanta. Created company's first comprehensive business continuity plan and tested with success.,inform technolog manag led plan implement disast recoveri site atlanta creat compani first comprehens busi continu plan test success
12,12,Installed and configuring Barracuda Spam & Virus Firewalls resulting in the reduction of Spam by 40%.,inform technolog manag instal configur barracuda spam viru firewal result reduct spam
13,13,"Enforced security policies, managed, monitored and updated spam filtering, Virus and Malware prevention systems.",inform technolog manag enforc secur polici manag monitor updat spam filter viru malwar prevent system
14,14,Reduced desktop & application deployment times by 60% by designing and implementing Microsoft's System Center Configuration Manager.,inform technolog manag reduc desktop applic deploy time design implement microsoft system center configur manag
